code,name,full_name,english_name,pinyin,exchange,board,industry,region,currency,list_date,delist_date,status,is_stock_connect,actual_controller,controller_entity_type,update_time
832317,观典防务(退),观典防务技术股份有限公司,"Guandian Defense Technology Co., Ltd.",GDFW,BSE,北交所,,,CNY,2020-07-27,2022-04-26,delisted,N,,,2026-05-10 22:04:45
833874,泰祥股份(退),十堰市泰祥实业股份有限公司,"Shiyan Taixiang Industry Co., Ltd.",TXGF,BSE,北交所,,,CNY,2020-07-27,2022-07-18,delisted,N,王世斌,民营企业,2026-05-10 22:04:45
833994,翰博高新(退),翰博高新材料(合肥)股份有限公司,"Highbroad Advanced Material (Hefei) Co., Ltd.",HBGX,BSE,北交所,,,CNY,2020-07-27,2022-07-25,delisted,N,王照忠,民营企业,2026-05-10 22:04:45
920000,安徽凤凰,安徽凤凰滤清器股份有限公司,"Anhui Phoenix International Co., Ltd.",AHFH,BSE,北交所,汽车配件,安徽,CNY,2020-12-23,,listed,N,巫界树,外资,2026-05-10 22:04:45
920001,纬达光电,佛山纬达光电材料股份有限公司,"Winda Opto-Electronics Co.,Ltd",WDGD,BSE,北交所,元器件,广东,CNY,2022-12-27,,listed,N,广东省人民政府,地方国有企业,2026-05-10 22:04:45
920002,万达轴承,江苏万达特种轴承股份有限公司,"Jiangsu Wanda Special Bearing Co., Ltd.",WDZC,BSE,北交所,工程机械,江苏,CNY,2024-05-30,,listed,N,徐群生,民营企业,2026-05-10 22:04:45
920003,中诚咨询,中诚智信工程咨询集团股份有限公司,"ZC Intel Tec Engineering Consulting Group Co., Ltd.",ZCZX,BSE,北交所,建筑工程,江苏,CNY,2025-11-07,,listed,N,许学雷,民营企业,2026-05-10 22:04:45
920005,鼎佳精密,苏州鼎佳精密科技股份有限公司,"Suzhou Topbest Precision Technology Co.,Ltd.",DJJM,BSE,北交所,元器件,江苏,CNY,2025-07-31,,listed,N,李结平,民营企业,2026-05-10 22:04:45
920006,晟楠科技,江苏晟楠电子科技股份有限公司,"Jiangsu Shengnan Electronic Technology Co., Ltd.",SNKJ,BSE,北交所,航空,江苏,CNY,2023-05-18,,listed,N,叶学俊,民营企业,2026-05-10 22:04:45
920007,酉立智能,江苏酉立智能装备股份有限公司,"Jiangsu Youli Intelligent Equipment Co.,Ltd.",YLZN,BSE,北交所,电气设备,江苏,CNY,2025-08-08,,listed,N,李涛,民营企业,2026-05-10 22:04:45
